VALOR_A_PAGAR,TAXA,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS,FLAG_PF,SEGMENTO_INDUSTRIAL,DOMINIO_EMAIL,PORTE,INADIMPLENCIA,Mes_Emissao_Documento,Dia_Emissao_Documento,Mes_Vencimento,Dia_Vencimento
35516.41,6.99,217640.0,115.0,1,1,1,1,0,8,17,9,6
17758.21,6.99,217640.0,115.0,1,1,1,1,0,8,19,9,10
17431.96,6.99,217640.0,115.0,1,1,1,1,0,8,26,9,17
1341.0,6.99,217640.0,115.0,1,1,1,1,1,8,30,10,5
21309.85,6.99,217640.0,115.0,1,1,1,1,0,8,31,9,20
48811.35,6.99,260432.0,117.0,1,3,1,2,0,8,17,9,25
55131.2,5.99,243001.0,115.0,1,1,3,1,0,8,17,9,5
85855.04,6.99,217640.0,115.0,1,1,4,1,0,8,17,9,3
42072.0,5.99,247027.0,122.0,1,1,2,3,0,8,17,9,3
21071.97,5.99,247027.0,122.0,1,1,2,3,0,8,19,9,5
34539.46,5.99,247027.0,122.0,1,1,2,3,0,8,20,9,6
54977.25,5.99,247027.0,122.0,1,1,2,3,0,8,21,9,10
30748.43,5.99,247027.0,122.0,1,1,2,3,0,8,28,9,14
17270.23,5.99,247027.0,122.0,1,1,2,3,0,8,28,9,14
39237.83,5.99,247027.0,122.0,1,1,2,3,0,8,28,9,14
91751.03,5.99,247027.0,122.0,1,1,2,3,0,8,31,9,17
60167.05,5.99,247027.0,122.0,1,1,2,3,0,8,31,9,17
21499.85,5.99,203123.0,103.0,1,1,2,3,0,9,2,9,19
17690.72,5.99,203123.0,103.0,1,1,2,3,0,9,3,9,19
17240.9,5.99,203123.0,103.0,1,1,2,3,0,9,13,10,1
21474.5,5.99,203123.0,103.0,1,1,2,3,0,9,14,10,1
10508.1,8.99,239443.0,125.0,1,2,3,3,0,8,17,9,3
10900.95,8.99,239443.0,125.0,1,2,3,3,0,8,21,9,10
10900.95,8.99,239443.0,125.0,1,2,3,3,0,8,22,9,10
10900.95,8.99,239443.0,125.0,1,2,3,3,0,8,23,9,10
11201.0,8.99,239443.0,125.0,1,2,3,3,0,8,26,9,11
17354.3,8.99,53021.0,120.0,1,2,3,3,0,9,7,9,24
125.56,6.99,235928.0,113.0,1,2,1,1,1,8,17,12,5
148334.09,6.99,235928.0,113.0,1,2,1,1,1,8,17,9,19
4545.52,6.99,235928.0,113.0,1,2,1,1,1,8,20,12,5
75827.62,6.99,235928.0,113.0,1,2,1,1,0,8,20,9,26
144761.82,6.99,235928.0,113.0,1,2,1,1,0,8,21,10,3
157405.05,6.99,235928.0,113.0,1,2,1,1,0,8,26,10,3
151655.24,6.99,235928.0,113.0,1,2,1,1,0,8,28,10,10
76953.58,6.99,235928.0,113.0,1,2,1,1,0,8,28,10,3
148334.09,6.99,97117.0,79.0,1,2,1,1,1,9,3,10,10
151655.24,6.99,97117.0,79.0,1,2,1,1,0,9,13,10,17
30460.82,5.99,243001.0,115.0,1,1,2,1,0,8,17,9,3
61249.8,5.99,243001.0,115.0,1,1,2,1,0,8,21,9,6
76765.5,5.99,243001.0,115.0,1,1,2,1,0,8,24,9,10
945.6,5.99,243001.0,115.0,1,1,2,1,0,8,30,10,5
32146.21,5.99,243001.0,115.0,1,1,2,1,0,8,30,9,17
38550.0,5.99,142410.0,72.0,1,1,2,1,0,9,13,10,1
107187.16,11.99,201721.0,115.0,1,1,3,1,0,8,17,9,3
99789.75,11.99,201721.0,115.0,1,1,3,1,0,8,21,9,6
23311.2,11.99,201721.0,115.0,1,1,3,1,0,8,26,9,11
53230.75,11.99,201721.0,115.0,1,1,3,1,0,8,29,9,14
32393.95,11.99,201721.0,115.0,1,1,3,1,0,8,31,9,17
37241.2,11.99,185040.0,101.0,1,1,3,1,0,9,9,9,25
21476.35,8.99,268258.0,119.0,1,3,6,3,0,8,17,9,3
65259.84,8.99,268258.0,119.0,1,3,6,3,0,8,30,9,17
51354.65,8.99,331138.0,137.0,1,3,6,3,0,9,10,9,27
33660.0,6.99,246197.0,122.0,1,1,3,3,0,8,17,9,3
32668.25,6.99,246197.0,122.0,1,1,3,3,0,8,28,9,14
1182.0,6.99,246197.0,122.0,1,1,3,3,1,8,30,10,5
14993.27,5.99,236787.5,117.0,1,1,4,2,0,8,17,9,10
24066.07,5.99,236787.5,117.0,1,1,4,2,0,8,17,9,10
23563.07,5.99,236787.5,117.0,1,1,4,2,0,8,18,9,11
23764.37,5.99,236787.5,117.0,1,1,4,2,0,8,22,9,13
13609.54,5.99,236787.5,117.0,1,1,4,2,0,8,23,9,14
23764.37,5.99,236787.5,117.0,1,1,4,2,0,8,24,9,17
15787.21,5.99,236787.5,117.0,1,1,4,2,0,8,25,9,18
23764.37,5.99,236787.5,117.0,1,1,4,2,0,8,25,9,18
24267.38,5.99,236787.5,117.0,1,1,4,2,0,8,26,9,17
23764.37,5.99,236787.5,117.0,1,1,4,2,0,8,26,9,17
24488.85,5.99,236787.5,117.0,1,1,4,2,0,8,27,9,19
47971.69,5.99,236787.5,117.0,1,1,4,2,0,8,27,9,19
16194.61,5.99,236787.5,117.0,1,1,4,2,0,8,29,9,20
17335.36,5.99,148178.0,82.0,1,1,4,2,0,9,3,9,26
47957.2,5.99,148178.0,82.0,1,1,4,2,0,9,6,10,1
47957.2,5.99,148178.0,82.0,1,1,4,2,0,9,6,9,28
31866.16,5.99,148178.0,82.0,1,1,4,2,0,9,9,10,1
32196.14,5.99,148178.0,82.0,1,1,4,2,0,9,10,10,2
47957.2,5.99,148178.0,82.0,1,1,4,2,0,9,10,10,2
24426.33,5.99,148178.0,82.0,1,1,4,2,0,9,13,10,5
24436.64,5.99,148178.0,82.0,1,1,4,2,0,9,15,10,9
79643.3,5.99,228480.0,119.0,1,3,1,3,0,8,17,9,3
96610.41,5.99,228480.0,119.0,1,3,1,3,0,8,19,9,4
77204.96,5.99,228480.0,119.0,1,3,1,3,0,8,22,9,10
56958.38,5.99,228480.0,119.0,1,3,1,3,0,8,28,9,13
66327.04,5.99,129947.0,99.0,1,3,1,3,0,9,3,9,19
60837.47,5.99,129947.0,99.0,1,3,1,3,0,9,4,9,21
37254.7,5.99,236787.5,115.0,1,1,2,2,0,8,17,9,5
32256.4,5.99,236787.5,115.0,1,1,2,2,0,8,20,9,6
76645.24,6.99,234489.0,115.0,1,1,3,2,0,8,17,9,3
80054.35,6.99,441048.0,107.0,1,1,3,2,0,9,10,9,26
100093.82,6.99,441048.0,107.0,1,1,3,2,0,9,11,9,27
29891.85,4.99,274147.0,117.0,1,3,2,2,0,8,17,9,3
79535.39,4.99,251268.0,115.0,1,1,3,1,0,8,17,9,12
133221.74,5.99,226334.0,117.0,1,3,2,2,0,8,17,9,11
79692.7,6.99,217640.0,115.0,1,1,3,1,0,8,17,9,5
95984.15,6.99,217640.0,115.0,1,1,3,1,0,8,19,9,4
117316.25,6.99,217640.0,115.0,1,1,3,1,0,8,22,9,10
1182.0,6.99,217640.0,115.0,1,1,3,1,0,8,30,10,5
42742.1,6.99,163358.0,115.0,1,1,3,1,0,9,6,9,24
78540.1,6.99,163358.0,115.0,1,1,3,1,0,9,9,9,25
46626.0,6.99,246197.0,117.0,1,1,1,3,0,8,17,9,17
46626.0,6.99,246197.0,117.0,1,1,1,3,0,8,18,9,18
31084.0,6.99,246197.0,117.0,1,1,1,3,0,8,20,9,19
31084.0,6.99,246197.0,117.0,1,1,1,3,0,8,23,9,24
31084.0,6.99,277934.0,84.0,1,1,1,3,0,9,3,10,3
31084.0,6.99,277934.0,84.0,1,1,1,3,0,9,6,10,8
31084.0,6.99,277934.0,84.0,1,1,1,3,0,9,10,10,10
42903.1,5.99,228480.0,119.0,1,3,1,3,0,8,17,9,3
96954.95,5.99,228480.0,119.0,1,3,1,3,0,8,21,9,6
43397.0,5.99,228480.0,119.0,1,3,1,3,0,8,28,9,13
97329.2,5.99,278795.0,99.0,1,3,1,3,0,9,6,9,24
81472.0,5.99,278795.0,99.0,1,3,1,3,0,9,14,10,1
36316.87,6.99,245366.0,117.0,1,2,2,2,0,8,17,9,3
39089.52,6.99,245366.0,117.0,1,2,2,2,0,8,26,9,11
56152.28,6.99,209440.0,107.0,1,2,2,2,0,9,10,9,26
31550.49,11.99,245198.0,117.0,1,3,1,2,0,8,17,9,4
33156.14,11.99,217773.0,117.0,1,3,1,2,0,9,3,9,19
91187.75,6.99,237934.0,113.0,1,3,1,1,0,8,17,9,3
48518.75,6.99,237934.0,113.0,1,3,1,1,0,8,27,9,12
39633.1,6.99,292798.0,113.0,1,3,1,1,0,9,7,9,24
78996.55,6.99,292798.0,113.0,1,3,1,1,0,9,12,9,28
86008.45,6.99,292798.0,113.0,1,3,1,1,0,9,13,10,1
34379.4,5.99,228480.0,119.0,1,3,1,3,0,8,17,9,3
17134.32,5.99,228480.0,119.0,1,3,1,3,0,8,20,9,5
24979.9,5.99,228480.0,119.0,1,3,1,3,0,8,24,9,10
31150.84,5.99,228480.0,119.0,1,3,1,3,0,8,27,9,12
84342.5,5.99,228480.0,119.0,1,3,1,3,0,8,28,9,13
25142.3,5.99,228480.0,119.0,1,3,1,3,0,8,30,9,17
945.6,5.99,228480.0,119.0,1,3,1,3,0,8,30,10,5
17639.6,5.99,281719.0,128.0,1,3,1,3,0,9,11,9,28
22176.2,5.99,281719.0,128.0,1,3,1,3,0,9,14,10,1
91448.7,5.99,245803.0,125.0,1,2,4,3,0,8,17,10,1
30648.8,5.99,245803.0,125.0,1,2,4,3,0,8,19,10,3
31231.3,5.99,245803.0,125.0,1,2,4,3,0,8,19,10,3
91448.7,5.99,245803.0,125.0,1,2,4,3,0,8,21,10,5
15241.45,5.99,245803.0,125.0,1,2,4,3,0,8,21,10,5
30648.8,5.99,245803.0,125.0,1,2,4,3,0,8,21,10,5
106690.15,5.99,245803.0,125.0,1,2,4,3,0,8,23,10,8
76622.0,5.99,245803.0,125.0,1,2,4,3,0,8,24,10,8
30648.8,5.99,245803.0,125.0,1,2,4,3,0,8,26,10,10
15241.45,5.99,245803.0,125.0,1,2,4,3,0,8,27,10,11
30482.9,5.99,245803.0,125.0,1,2,4,3,0,8,29,10,15
30482.9,5.99,245803.0,125.0,1,2,4,3,0,8,30,10,15
30487.7,5.99,412365.0,125.0,1,2,4,3,0,9,2,10,17
30653.6,5.99,412365.0,125.0,1,2,4,3,0,9,3,10,18
46771.35,5.99,412365.0,125.0,1,2,4,3,0,9,6,10,22
15326.8,5.99,412365.0,125.0,1,2,4,3,0,9,7,10,22
76634.0,5.99,412365.0,125.0,1,2,4,3,0,9,9,10,24
31237.3,5.99,412365.0,125.0,1,2,4,3,0,9,13,10,29
35824.1,4.99,245179.0,119.0,1,3,1,3,0,8,17,9,17
17912.05,4.99,245179.0,119.0,1,3,1,3,0,8,20,9,19
17912.05,4.99,245179.0,119.0,1,3,1,3,0,8,23,9,24
36145.9,4.99,159687.0,100.0,1,3,1,3,0,9,3,10,3
35965.9,4.99,159687.0,100.0,1,3,1,3,0,9,6,10,8
35965.9,4.99,159687.0,100.0,1,3,1,3,0,9,9,10,9
17982.95,4.99,159687.0,100.0,1,3,1,3,0,9,10,10,10
71594.86,4.99,245179.0,119.0,1,3,1,3,0,8,17,9,25
74514.88,4.99,245179.0,119.0,1,3,1,3,0,8,20,9,26
74514.88,4.99,245179.0,119.0,1,3,1,3,0,8,30,10,5
74514.88,4.99,245179.0,119.0,1,3,1,3,0,8,31,10,9
77901.92,4.99,70760.0,123.0,1,3,1,3,0,9,2,10,9
77901.92,4.99,70760.0,123.0,1,3,1,3,0,9,5,10,11
77901.92,4.99,70760.0,123.0,1,3,1,3,0,9,7,10,15
77901.92,4.99,70760.0,123.0,1,3,1,3,0,9,7,10,16
74514.88,4.99,70760.0,123.0,1,3,1,3,0,9,12,10,18
77901.92,4.99,70760.0,123.0,1,3,1,3,0,9,12,10,18
77901.92,4.99,70760.0,123.0,1,3,1,3,0,9,14,10,23
48664.25,5.99,228480.0,119.0,1,3,5,3,0,8,17,9,3
72425.0,5.99,228480.0,119.0,1,3,5,3,0,8,28,9,14
1182.0,5.99,228480.0,119.0,1,3,5,3,0,8,30,10,5
100616.1,5.99,255036.5,113.0,1,3,3,1,0,8,17,9,4
89552.8,5.99,255036.5,113.0,1,3,3,1,0,8,22,9,11
94062.8,5.99,255036.5,113.0,1,3,3,1,0,8,23,9,10
102686.1,5.99,255036.5,113.0,1,3,3,1,0,8,23,9,10
51393.0,5.99,255036.5,113.0,1,3,3,1,0,8,24,9,11
59610.76,5.99,300502.0,107.0,1,3,3,1,0,9,4,9,24
39398.06,5.99,300502.0,107.0,1,3,3,1,0,9,6,9,24
55416.75,5.99,300502.0,107.0,1,3,3,1,0,9,9,9,25
11751.35,5.99,300502.0,107.0,1,3,3,1,0,9,11,9,27
31813.9,6.99,246197.0,122.0,1,1,3,3,0,8,17,9,4
52382.8,4.99,244490.0,122.0,1,1,1,3,0,8,17,9,3
55341.08,4.99,244490.0,122.0,1,1,1,3,0,8,22,9,10
70669.5,4.99,244490.0,122.0,1,1,1,3,0,8,31,9,17
33575.2,4.99,342581.0,99.0,1,1,1,3,0,9,14,10,1
105278.0,5.99,228480.0,119.0,1,3,3,3,0,8,17,9,3
42119.6,5.99,228480.0,119.0,1,3,3,3,0,8,23,9,10
14330.55,5.99,228480.0,119.0,1,3,3,3,0,8,28,9,13
42448.9,5.99,228480.0,119.0,1,3,3,3,0,8,28,9,13
115858.3,5.99,343757.0,116.0,1,3,3,3,0,9,4,9,20
79309.0,5.99,343757.0,116.0,1,3,3,3,0,9,5,9,21
22055.0,5.99,343757.0,116.0,1,3,3,3,0,9,11,9,27
36231.85,5.99,343757.0,116.0,1,3,3,3,0,9,13,10,1
190201.6,4.99,238799.0,117.0,1,2,1,2,0,8,17,9,5
33814.2,4.99,238799.0,117.0,1,2,1,2,0,8,20,9,5
144755.2,4.99,238799.0,117.0,1,2,1,2,0,8,21,9,10
75593.1,4.99,238799.0,117.0,1,2,1,2,0,8,23,9,10
37348.34,4.99,238799.0,117.0,1,2,1,2,0,8,28,9,17
33814.2,4.99,238799.0,117.0,1,2,1,2,0,8,30,9,17
99673.87,4.99,238799.0,117.0,1,2,1,2,0,8,30,9,17
132484.17,4.99,136317.0,96.0,1,2,1,2,0,9,2,9,18
40577.04,4.99,136317.0,96.0,1,2,1,2,0,9,5,9,21
131875.38,4.99,136317.0,96.0,1,2,1,2,0,9,13,10,1
66595.05,11.99,245715.0,119.0,1,3,1,3,0,8,17,9,3
32582.6,11.99,245715.0,119.0,1,3,1,3,0,8,24,9,10
38391.54,5.99,247027.0,122.0,1,1,1,3,0,8,17,9,3
35776.77,5.99,354607.0,109.0,1,1,1,3,0,9,2,9,19
32052.0,6.99,246197.0,122.0,1,1,3,3,0,8,17,9,6
32052.0,6.99,183447.0,101.0,1,1,3,3,0,9,6,9,26
16026.0,6.99,183447.0,101.0,1,1,3,3,0,9,10,10,1
51610.2,6.99,245366.0,117.0,1,2,1,2,0,8,17,9,3
51610.2,6.99,245366.0,117.0,1,2,1,2,0,8,19,9,4
35083.9,6.99,245366.0,117.0,1,2,1,2,0,8,27,9,12
12629.8,6.99,245366.0,117.0,1,2,1,2,0,8,29,9,14
1656.0,6.99,245366.0,117.0,1,2,1,2,0,8,30,10,5
22521.65,6.99,119484.0,89.0,1,2,1,2,0,9,2,9,18
30290.0,6.99,119484.0,89.0,1,2,1,2,0,9,3,10,25
22732.91,6.99,119484.0,89.0,1,2,1,2,0,9,3,9,19
51459.9,6.99,119484.0,89.0,1,2,1,2,0,9,5,9,21
22454.05,6.99,119484.0,89.0,1,2,1,2,0,9,6,9,25
68491.0,6.99,119484.0,89.0,1,2,1,2,0,9,6,9,25
