VALOR_A_PAGAR,TAXA,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS,PJ_ou_PF,SEGMENTO_INDUSTRIAL_Comércio,SEGMENTO_INDUSTRIAL_Indústria,SEGMENTO_INDUSTRIAL_Serviços,Tam_Empresa,Mes_Emissao_Documento,Dia_Emissao_Documento,Mes_Vencimento,Dia_Vencimento,Churned
35516.41,6.99,217640.0,115.0,1,0,0,1,0,8,17,9,6,0
17758.21,6.99,217640.0,115.0,1,0,0,1,0,8,19,9,10,0
17431.96,6.99,217640.0,115.0,1,0,0,1,0,8,26,9,17,0
1341.0,6.99,217640.0,115.0,1,0,0,1,0,8,30,10,5,1
21309.85,6.99,217640.0,115.0,1,0,0,1,0,8,31,9,20,0
48811.35,6.99,260432.0,117.0,1,1,0,0,1,8,17,9,25,0
55131.2,5.99,243001.0,115.0,1,0,0,1,0,8,17,9,5,0
85855.04,6.99,217640.0,115.0,1,0,0,1,0,8,17,9,3,0
42072.0,5.99,247027.0,122.0,1,0,0,1,2,8,17,9,3,0
21071.97,5.99,247027.0,122.0,1,0,0,1,2,8,19,9,5,0
34539.46,5.99,247027.0,122.0,1,0,0,1,2,8,20,9,6,0
54977.25,5.99,247027.0,122.0,1,0,0,1,2,8,21,9,10,0
30748.43,5.99,247027.0,122.0,1,0,0,1,2,8,28,9,14,0
17270.23,5.99,247027.0,122.0,1,0,0,1,2,8,28,9,14,0
39237.83,5.99,247027.0,122.0,1,0,0,1,2,8,28,9,14,0
91751.03,5.99,247027.0,122.0,1,0,0,1,2,8,31,9,17,0
60167.05,5.99,247027.0,122.0,1,0,0,1,2,8,31,9,17,0
21499.85,5.99,203123.0,103.0,1,0,0,1,2,9,2,9,19,0
17690.72,5.99,203123.0,103.0,1,0,0,1,2,9,3,9,19,0
17240.9,5.99,203123.0,103.0,1,0,0,1,2,9,13,10,1,0
21474.5,5.99,203123.0,103.0,1,0,0,1,2,9,14,10,1,0
10508.1,8.99,239443.0,125.0,1,0,1,0,2,8,17,9,3,0
10900.95,8.99,239443.0,125.0,1,0,1,0,2,8,21,9,10,0
10900.95,8.99,239443.0,125.0,1,0,1,0,2,8,22,9,10,0
10900.95,8.99,239443.0,125.0,1,0,1,0,2,8,23,9,10,0
11201.0,8.99,239443.0,125.0,1,0,1,0,2,8,26,9,11,0
17354.3,8.99,53021.0,120.0,1,0,1,0,2,9,7,9,24,0
125.56,6.99,235928.0,113.0,1,0,1,0,0,8,17,12,5,1
148334.09,6.99,235928.0,113.0,1,0,1,0,0,8,17,9,19,1
4545.52,6.99,235928.0,113.0,1,0,1,0,0,8,20,12,5,1
75827.62,6.99,235928.0,113.0,1,0,1,0,0,8,20,9,26,0
144761.82,6.99,235928.0,113.0,1,0,1,0,0,8,21,10,3,0
157405.05,6.99,235928.0,113.0,1,0,1,0,0,8,26,10,3,0
151655.24,6.99,235928.0,113.0,1,0,1,0,0,8,28,10,10,0
76953.58,6.99,235928.0,113.0,1,0,1,0,0,8,28,10,3,0
148334.09,6.99,97117.0,79.0,1,0,1,0,0,9,3,10,10,1
151655.24,6.99,97117.0,79.0,1,0,1,0,0,9,13,10,17,0
30460.82,5.99,243001.0,115.0,1,0,0,1,0,8,17,9,3,0
61249.8,5.99,243001.0,115.0,1,0,0,1,0,8,21,9,6,0
76765.5,5.99,243001.0,115.0,1,0,0,1,0,8,24,9,10,0
945.6,5.99,243001.0,115.0,1,0,0,1,0,8,30,10,5,0
32146.21,5.99,243001.0,115.0,1,0,0,1,0,8,30,9,17,0
38550.0,5.99,142410.0,72.0,1,0,0,1,0,9,13,10,1,0
107187.16,11.99,201721.0,115.0,1,0,0,1,0,8,17,9,3,0
99789.75,11.99,201721.0,115.0,1,0,0,1,0,8,21,9,6,0
23311.2,11.99,201721.0,115.0,1,0,0,1,0,8,26,9,11,0
53230.75,11.99,201721.0,115.0,1,0,0,1,0,8,29,9,14,0
32393.95,11.99,201721.0,115.0,1,0,0,1,0,8,31,9,17,0
37241.2,11.99,185040.0,101.0,1,0,0,1,0,9,9,9,25,0
21476.35,8.99,268258.0,119.0,1,1,0,0,2,8,17,9,3,0
65259.84,8.99,268258.0,119.0,1,1,0,0,2,8,30,9,17,0
51354.65,8.99,331138.0,137.0,1,1,0,0,2,9,10,9,27,0
33660.0,6.99,246197.0,122.0,1,0,0,1,2,8,17,9,3,0
32668.25,6.99,246197.0,122.0,1,0,0,1,2,8,28,9,14,0
1182.0,6.99,246197.0,122.0,1,0,0,1,2,8,30,10,5,1
14993.27,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,17,9,10,0
24066.07,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,17,9,10,0
23563.07,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,18,9,11,0
23764.37,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,22,9,13,0
13609.54,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,23,9,14,0
23764.37,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,24,9,17,0
15787.21,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,25,9,18,0
23764.37,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,25,9,18,0
24267.38,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,26,9,17,0
23764.37,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,26,9,17,0
24488.85,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,27,9,19,0
47971.69,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,27,9,19,0
16194.61,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,29,9,20,0
17335.36,5.99,148178.0,82.0,1,0,0,1,1,9,3,9,26,0
47957.2,5.99,148178.0,82.0,1,0,0,1,1,9,6,10,1,0
47957.2,5.99,148178.0,82.0,1,0,0,1,1,9,6,9,28,0
31866.16,5.99,148178.0,82.0,1,0,0,1,1,9,9,10,1,0
32196.14,5.99,148178.0,82.0,1,0,0,1,1,9,10,10,2,0
47957.2,5.99,148178.0,82.0,1,0,0,1,1,9,10,10,2,0
24426.33,5.99,148178.0,82.0,1,0,0,1,1,9,13,10,5,0
24436.64,5.99,148178.0,82.0,1,0,0,1,1,9,15,10,9,0
79643.3,5.99,228480.0,119.0,1,1,0,0,2,8,17,9,3,0
96610.41,5.99,228480.0,119.0,1,1,0,0,2,8,19,9,4,0
77204.96,5.99,228480.0,119.0,1,1,0,0,2,8,22,9,10,0
56958.38,5.99,228480.0,119.0,1,1,0,0,2,8,28,9,13,0
66327.04,5.99,129947.0,99.0,1,1,0,0,2,9,3,9,19,0
60837.47,5.99,129947.0,99.0,1,1,0,0,2,9,4,9,21,0
37254.7,5.99,236787.5,115.0,1,0,0,1,1,8,17,9,5,0
32256.4,5.99,236787.5,115.0,1,0,0,1,1,8,20,9,6,0
76645.24,6.99,234489.0,115.0,1,0,0,1,1,8,17,9,3,0
80054.35,6.99,441048.0,107.0,1,0,0,1,1,9,10,9,26,0
100093.82,6.99,441048.0,107.0,1,0,0,1,1,9,11,9,27,0
29891.85,4.99,274147.0,117.0,1,1,0,0,1,8,17,9,3,0
79535.39,4.99,251268.0,115.0,1,0,0,1,0,8,17,9,12,0
133221.74,5.99,226334.0,117.0,1,1,0,0,1,8,17,9,11,0
79692.7,6.99,217640.0,115.0,1,0,0,1,0,8,17,9,5,0
95984.15,6.99,217640.0,115.0,1,0,0,1,0,8,19,9,4,0
