ID_CLIENTE,SAFRA_REF,VALOR_A_PAGAR,TAXA,Mes_Emissao_Documento,Dia_Emissao_Documento,Mes_Vencimento,Dia_Vencimento,Inadimplencia,Probalidade %
5058298901476893676,2021-07,11204.75,4.99,7,14,8,4,0,0.05
274692171162531764,2021-07,60718.5,5.99,7,8,8,23,0,0.01
274692171162531764,2021-07,60718.5,5.99,7,11,8,25,0,0.13
274692171162531764,2021-07,62250.0,5.99,7,16,8,30,0,0.04
465309249432033993,2021-07,26593.95,6.99,7,5,7,30,0,0.0
465309249432033993,2021-07,26012.44,6.99,7,9,8,3,0,0.02
465309249432033993,2021-07,26082.54,6.99,7,13,8,9,0,0.09
465309249432033993,2021-07,26738.12,6.99,7,13,8,9,0,0.09
5883155883105348987,2021-07,20260.27,8.99,7,3,7,22,0,0.02
5883155883105348987,2021-07,19043.82,8.99,7,8,7,26,0,0.0
4489904752023469353,2021-07,64534.64,8.99,7,7,8,4,0,0.02
3355881107559250653,2021-07,21429.1,5.99,7,1,7,19,0,0.0
3355881107559250653,2021-07,21818.55,5.99,7,5,7,21,0,0.0
3355881107559250653,2021-07,28984.0,5.99,7,6,7,23,0,0.01
3355881107559250653,2021-07,42099.5,5.99,7,7,7,26,0,0.09
3355881107559250653,2021-07,56968.0,5.99,7,7,7,26,0,0.01
3355881107559250653,2021-07,21818.6,5.99,7,11,7,28,0,0.0
3355881107559250653,2021-07,21818.55,5.99,7,14,7,30,0,0.0
6330043096034525408,2021-07,41857.0,6.99,7,1,7,21,0,0.02
6330043096034525408,2021-07,42473.43,6.99,7,10,8,2,0,0.01
6964108750473070287,2021-07,54899.0,4.99,7,2,8,9,0,0.01
6964108750473070287,2021-07,250146.0,4.99,7,2,8,9,0,0.08
6964108750473070287,2021-07,91720.2,4.99,7,4,8,9,0,0.0
6964108750473070287,2021-07,54467.8,4.99,7,5,8,10,0,0.04
6964108750473070287,2021-07,54198.3,4.99,7,6,8,11,0,0.04
6964108750473070287,2021-07,63345.0,4.99,7,7,8,12,0,0.01
6964108750473070287,2021-07,63075.5,4.99,7,8,8,13,0,0.0
6964108750473070287,2021-07,54899.0,4.99,7,8,8,13,0,0.0
6964108750473070287,2021-07,92636.5,4.99,7,9,8,16,0,0.03
6964108750473070287,2021-07,54737.3,4.99,7,11,8,16,0,0.02
6964108750473070287,2021-07,91720.2,4.99,7,12,8,17,0,0.02
6964108750473070287,2021-07,126690.0,4.99,7,13,8,18,0,0.03
6964108750473070287,2021-07,250146.0,4.99,7,14,8,19,0,0.12
